6/17/17,11:45:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:46:11,8023.9926757812,W,3712.9262695312,N,673.30,0.00,,4.02
6/17/17,11:47:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:48:0,, ,, ,0.00,0.00,,4.03
6/17/17,11:49:0,, ,, ,0.00,0.00,,4.03
6/17/17,11:50:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:51:9,, ,, ,0.00,0.00,,4.02
6/17/17,11:52:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:53:0,, ,, ,0.00,0.00,,4.03
6/17/17,11:54:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:55:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:56:9,, ,, ,0.00,0.00,,4.02
6/17/17,11:57:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:58:0,, ,, ,0.00,0.00,,4.02
6/17/17,11:59:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:0:45,, ,, ,0.00,0.00,,4.03
6/17/17,12:1:54,8023.9941406250,W,3712.9230957031,N,652.40,0.00,,4.02
6/17/17,12:2:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:3:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:4:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:5:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:6:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:7:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:8:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:9:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:10:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:11:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:12:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:13:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:14:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:15:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:16:11,8023.9941406250,W,3712.9230957031,N,652.40,0.00,,4.02
6/17/17,12:17:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:18:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:19:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:20:0,, ,, ,0.00,0.00,,4.03
6/17/17,12:21:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:22:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:23:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:24:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:25:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:26:9,, ,, ,0.00,0.00,,4.02
6/17/17,12:27:0,, ,, ,0.00,0.00,,4.02
6/17/17,12:28:0,, ,, ,0.00,0.00,,4.02
